,Data,Vendedor,Produto,Forma Pagamento,Preço Unitário,Qtd,Unnamed: 7,Unnamed: 8
61,1/25/2015,Renato Souza,Produto C,Cartão de Crédito,R$ 148.50,2,,
62,1/25/2015,Diana Martins,Produto B,Dinheiro,R$ 577.50,1,,
63,1/26/2015,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
64,1/26/2015,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
65,1/27/2015,Anderson Gomes,Produto I,Boleto Bancário,R$ 759.00,1,,
66,1/28/2015,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
67,1/28/2015,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
68,1/28/2015,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
69,1/28/2015,Clara Nunes,Produto C,Boleto Bancário,R$ 148.50,1,,
70,1/29/2015,Felipe Melo,Produto D,Boleto Bancário,R$ 759.00,1,,
71,1/29/2015,Renato Souza,Produto C,Dinheiro,R$ 148.50,2,,
72,1/30/2015,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,3,,
73,1/30/2015,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
74,1/31/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
75,1/31/2015,Camila Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
76,1/31/2015,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,3,,
77,2/1/2015,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
78,2/1/2015,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,2,,
79,2/1/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,2,,
80,2/2/2015,Anderson Gomes,Produto C,Dinheiro,R$ 148.50,3,,
81,2/2/2015,Camila Souza,Produto B,Boleto Bancário,R$ 577.50,1,,
82,2/2/2015,Felipe Melo,Produto G,Cartão de Crédito,R$ 165.00,1,,
83,2/3/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
84,2/3/2015,Anderson Gomes,Produto I,Cartão de Crédito,R$ 759.00,1,,
85,2/3/2015,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,3,,
86,2/3/2015,Diana Martins,Produto I,Boleto Bancário,R$ 759.00,1,,
87,2/4/2015,Camila Souza,Produto J,Dinheiro,R$ 66.00,1,,
88,2/4/2015,Diana Martins,Produto H,Dinheiro,R$ 396.00,1,,
89,2/4/2015,Felipe Melo,Produto J,Boleto Bancário,R$ 66.00,3,,
90,2/4/2015,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,1,,
91,2/5/2015,Diana Martins,Produto E,Boleto Bancário,R$ 709.50,1,,
92,2/5/2015,Camila Souza,Produto B,Cartão de Crédito,R$ 577.50,3,,
93,2/5/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
94,2/5/2015,Camila Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
95,2/6/2015,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
96,2/6/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,3,,
97,2/6/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
98,2/7/2015,Anderson Gomes,Produto F,Cartão de Crédito,R$ 478.50,1,,
99,2/7/2015,Camila Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
100,2/7/2015,Felipe Melo,Produto H,Cartão de Crédito,R$ 396.00,1,,
101,2/7/2015,Anderson Gomes,Produto I,Dinheiro,R$ 759.00,1,,
102,2/8/2015,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,1,,
103,2/8/2015,Diana Martins,Produto C,Cartão de Crédito,R$ 148.50,1,,
104,2/8/2015,Diana Martins,Produto A,Cartão de Crédito,R$ 445.50,1,,
105,2/8/2015,Felipe Melo,Produto C,Dinheiro,R$ 148.50,3,,
106,2/9/2015,Renato Souza,Produto B,Cartão de Crédito,R$ 577.50,1,,
107,2/9/2015,Clara Nunes,Produto A,Dinheiro,R$ 445.50,1,,
108,2/9/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,2,,
109,2/9/2015,Anderson Gomes,Produto G,Boleto Bancário,R$ 165.00,1,,
110,2/10/2015,Camila Souza,Produto G,Dinheiro,R$ 165.00,1,,
111,2/10/2015,Camila Souza,Produto B,Dinheiro,R$ 577.50,2,,
112,2/10/2015,Renato Souza,Produto H,Boleto Bancário,R$ 396.00,1,,
113,2/11/2015,Renato Souza,Produto A,Boleto Bancário,R$ 445.50,1,,
114,2/11/2015,Anderson Gomes,Produto G,Dinheiro,R$ 165.00,2,,
115,2/11/2015,Renato Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
116,2/11/2015,Renato Souza,Produto I,Dinheiro,R$ 759.00,3,,
117,2/11/2015,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
118,2/12/2015,Anderson Gomes,Produto A,Cartão de Crédito,R$ 445.50,3,,
119,2/13/2015,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,1,,
120,2/13/2015,Clara Nunes,Produto J,Dinheiro,R$ 66.00,1,,
121,2/14/2015,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
122,2/14/2015,Renato Souza,Produto H,Boleto Bancário,R$ 396.00,1,,
123,2/14/2015,Camila Souza,Produto C,Cartão de Crédito,R$ 148.50,2,,
124,2/15/2015,Felipe Melo,Produto B,Boleto Bancário,R$ 577.50,1,,
125,2/15/2015,Diana Martins,Produto I,Dinheiro,R$ 759.00,1,,
126,2/15/2015,Clara Nunes,Produto J,Boleto Bancário,R$ 66.00,1,,
127,2/15/2015,Clara Nunes,Produto I,Boleto Bancário,R$ 759.00,1,,
128,2/15/2015,Diana Martins,Produto D,Boleto Bancário,R$ 759.00,1,,
129,2/16/2015,Anderson Gomes,Produto B,Dinheiro,R$ 577.50,1,,
130,2/16/2015,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
131,2/16/2015,Felipe Melo,Produto C,Dinheiro,R$ 148.50,3,,
132,2/17/2015,Felipe Melo,Produto E,Boleto Bancário,R$ 709.50,2,,
133,2/17/2015,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
134,2/17/2015,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,1,,
135,2/17/2015,Renato Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
136,2/18/2015,Felipe Melo,Produto C,Boleto Bancário,R$ 148.50,1,,
137,2/18/2015,Diana Martins,Produto F,Cartão de Crédito,R$ 478.50,3,,
138,2/18/2015,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,3,,
139,2/19/2015,Renato Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
140,2/19/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,1,,
141,2/19/2015,Renato Souza,Produto F,Boleto Bancário,R$ 478.50,1,,
142,2/19/2015,Anderson Gomes,Produto E,Cartão de Crédito,R$ 709.50,1,,
143,2/19/2015,Anderson Gomes,Produto D,Dinheiro,R$ 759.00,1,,
144,2/21/2015,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,1,,
145,2/21/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
146,2/22/2015,Diana Martins,Produto J,Cartão de Crédito,R$ 66.00,1,,
147,2/23/2015,Diana Martins,Produto C,Boleto Bancário,R$ 148.50,1,,
148,2/23/2015,Anderson Gomes,Produto F,Boleto Bancário,R$ 478.50,1,,
149,2/24/2015,Renato Souza,Produto F,Boleto Bancário,R$ 478.50,1,,
150,2/24/2015,Diana Martins,Produto F,Cartão de Crédito,R$ 478.50,1,,
151,2/24/2015,Clara Nunes,Produto J,Boleto Bancário,R$ 66.00,1,,
152,2/24/2015,Renato Souza,Produto D,Dinheiro,R$ 759.00,3,,
153,2/24/2015,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
154,2/25/2015,Felipe Melo,Produto F,Cartão de Crédito,R$ 478.50,2,,
155,2/25/2015,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
156,2/25/2015,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
157,2/25/2015,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,3,,
158,2/25/2015,Camila Souza,Produto E,Boleto Bancário,R$ 709.50,1,,
159,2/26/2015,Anderson Gomes,Produto D,Dinheiro,R$ 759.00,1,,
160,2/26/2015,Clara Nunes,Produto C,Cartão de Crédito,R$ 148.50,1,,
161,2/27/2015,Clara Nunes,Produto I,Dinheiro,R$ 759.00,1,,
162,2/27/2015,Renato Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
163,2/27/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
164,2/27/2015,Anderson Gomes,Produto I,Cartão de Crédito,R$ 759.00,1,,
165,2/27/2015,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,1,,
166,2/28/2015,Felipe Melo,Produto F,Dinheiro,R$ 478.50,1,,
167,3/1/2015,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
168,3/2/2015,Diana Martins,Produto E,Cartão de Crédito,R$ 709.50,1,,
169,3/2/2015,Anderson Gomes,Produto C,Boleto Bancário,R$ 148.50,1,,
170,3/2/2015,Renato Souza,Produto F,Dinheiro,R$ 478.50,3,,
171,3/2/2015,Anderson Gomes,Produto H,Cartão de Crédito,R$ 396.00,1,,
172,3/2/2015,Diana Martins,Produto B,Cartão de Crédito,R$ 577.50,1,,
173,3/2/2015,Renato Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
174,3/3/2015,Felipe Melo,Produto J,Boleto Bancário,R$ 66.00,3,,
175,3/3/2015,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,1,,
176,3/3/2015,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,1,,
177,3/3/2015,Felipe Melo,Produto C,Dinheiro,R$ 148.50,1,,
178,3/3/2015,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,3,,
179,3/4/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
180,3/5/2015,Camila Souza,Produto C,Boleto Bancário,R$ 148.50,1,,
181,3/5/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
182,3/5/2015,Diana Martins,Produto E,Dinheiro,R$ 709.50,3,,
183,3/5/2015,Renato Souza,Produto G,Cartão de Crédito,R$ 165.00,1,,
184,3/6/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
185,3/6/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
186,3/6/2015,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
187,3/7/2015,Renato Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
188,3/7/2015,Anderson Gomes,Produto G,Cartão de Crédito,R$ 165.00,1,,
189,3/7/2015,Clara Nunes,Produto G,Cartão de Crédito,R$ 165.00,1,,
190,3/7/2015,Felipe Melo,Produto B,Boleto Bancário,R$ 577.50,1,,
191,3/7/2015,Felipe Melo,Produto E,Cartão de Crédito,R$ 709.50,1,,
192,3/7/2015,Diana Martins,Produto H,Dinheiro,R$ 396.00,3,,
193,3/8/2015,Diana Martins,Produto E,Dinheiro,R$ 709.50,1,,
194,3/8/2015,Anderson Gomes,Produto H,Boleto Bancário,R$ 396.00,1,,
195,3/8/2015,Felipe Melo,Produto D,Boleto Bancário,R$ 759.00,1,,
196,3/9/2015,Anderson Gomes,Produto D,Dinheiro,R$ 759.00,1,,
197,3/9/2015,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,2,,
198,3/9/2015,Felipe Melo,Produto B,Cartão de Crédito,R$ 577.50,1,,
199,3/10/2015,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
200,3/11/2015,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
201,3/11/2015,Clara Nunes,Produto C,Dinheiro,R$ 148.50,1,,
202,3/11/2015,Renato Souza,Produto E,Cartão de Crédito,R$ 709.50,1,,
203,3/12/2015,Renato Souza,Produto D,Boleto Bancário,R$ 759.00,1,,
204,3/12/2015,Felipe Melo,Produto I,Dinheiro,R$ 759.00,2,,
205,3/13/2015,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
206,3/13/2015,Clara Nunes,Produto A,Cartão de Crédito,R$ 445.50,1,,
207,3/13/2015,Diana Martins,Produto H,Boleto Bancário,R$ 396.00,1,,
208,3/13/2015,Anderson Gomes,Produto B,Boleto Bancário,R$ 577.50,1,,
209,3/13/2015,Diana Martins,Produto E,Cartão de Crédito,R$ 709.50,1,,
210,3/14/2015,Felipe Melo,Produto B,Cartão de Crédito,R$ 577.50,1,,
211,3/14/2015,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,1,,
212,3/14/2015,Diana Martins,Produto I,Cartão de Crédito,R$ 759.00,2,,
213,3/15/2015,Felipe Melo,Produto E,Cartão de Crédito,R$ 709.50,3,,
214,3/15/2015,Felipe Melo,Produto J,Boleto Bancário,R$ 66.00,2,,
215,3/15/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,1,,
216,3/15/2015,Clara Nunes,Produto C,Dinheiro,R$ 148.50,1,,
217,3/16/2015,Diana Martins,Produto B,Cartão de Crédito,R$ 577.50,3,,
218,3/16/2015,Diana Martins,Produto H,Boleto Bancário,R$ 396.00,3,,
219,3/16/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
220,3/16/2015,Anderson Gomes,Produto D,Cartão de Crédito,R$ 759.00,1,,
221,3/17/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,1,,
222,3/17/2015,Renato Souza,Produto F,Dinheiro,R$ 478.50,1,,
223,3/17/2015,Anderson Gomes,Produto G,Boleto Bancário,R$ 165.00,2,,
224,3/17/2015,Diana Martins,Produto C,Dinheiro,R$ 148.50,1,,
225,3/18/2015,Felipe Melo,Produto H,Cartão de Crédito,R$ 396.00,1,,
226,3/18/2015,Renato Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
227,3/19/2015,Felipe Melo,Produto C,Cartão de Crédito,R$ 148.50,2,,
228,3/19/2015,Diana Martins,Produto G,Dinheiro,R$ 165.00,1,,
229,3/19/2015,Diana Martins,Produto B,Dinheiro,R$ 577.50,1,,
230,3/20/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
231,3/20/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,3,,
232,3/21/2015,Clara Nunes,Produto F,Cartão de Crédito,R$ 478.50,1,,
233,3/21/2015,Camila Souza,Produto F,Boleto Bancário,R$ 478.50,1,,
234,3/22/2015,Renato Souza,Produto A,Dinheiro,R$ 445.50,1,,
235,3/22/2015,Clara Nunes,Produto D,Cartão de Crédito,R$ 759.00,1,,
236,3/22/2015,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,1,,
237,3/23/2015,Camila Souza,Produto E,Boleto Bancário,R$ 709.50,3,,
238,3/23/2015,Diana Martins,Produto D,Dinheiro,R$ 759.00,1,,
239,3/24/2015,Felipe Melo,Produto C,Dinheiro,R$ 148.50,1,,
240,3/24/2015,Camila Souza,Produto D,Boleto Bancário,R$ 759.00,1,,
241,3/25/2015,Diana Martins,Produto C,Cartão de Crédito,R$ 148.50,3,,
242,3/25/2015,Renato Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
243,3/25/2015,Diana Martins,Produto B,Cartão de Crédito,R$ 577.50,1,,
244,3/26/2015,Felipe Melo,Produto A,Cartão de Crédito,R$ 445.50,1,,
245,3/26/2015,Diana Martins,Produto J,Dinheiro,R$ 66.00,3,,
246,3/26/2015,Clara Nunes,Produto G,Cartão de Crédito,R$ 165.00,3,,
247,3/26/2015,Felipe Melo,Produto I,Cartão de Crédito,R$ 759.00,1,,
248,3/27/2015,Diana Martins,Produto E,Cartão de Crédito,R$ 709.50,3,,
249,3/27/2015,Felipe Melo,Produto I,Dinheiro,R$ 759.00,2,,
250,3/28/2015,Renato Souza,Produto A,Cartão de Crédito,R$ 445.50,1,,
251,3/28/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,3,,
252,3/28/2015,Camila Souza,Produto E,Cartão de Crédito,R$ 709.50,1,,
253,3/28/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
254,3/28/2015,Renato Souza,Produto F,Boleto Bancário,R$ 478.50,1,,
255,3/29/2015,Felipe Melo,Produto H,Cartão de Crédito,R$ 396.00,1,,
256,3/29/2015,Camila Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
257,3/29/2015,Diana Martins,Produto D,Cartão de Crédito,R$ 759.00,1,,
258,3/29/2015,Felipe Melo,Produto B,Boleto Bancário,R$ 577.50,1,,
259,3/30/2015,Anderson Gomes,Produto J,Cartão de Crédito,R$ 66.00,1,,
260,3/30/2015,Renato Souza,Produto E,Boleto Bancário,R$ 709.50,1,,
261,3/30/2015,Felipe Melo,Produto J,Boleto Bancário,R$ 66.00,1,,
262,3/31/2015,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,1,,
263,3/31/2015,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,1,,
264,4/1/2015,Camila Souza,Produto J,Dinheiro,R$ 66.00,1,,
265,4/1/2015,Camila Souza,Produto D,Boleto Bancário,R$ 759.00,2,,
266,4/1/2015,Clara Nunes,Produto H,Boleto Bancário,R$ 396.00,1,,
267,4/2/2015,Felipe Melo,Produto G,Cartão de Crédito,R$ 165.00,1,,
268,4/2/2015,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,1,,
269,4/3/2015,Clara Nunes,Produto H,Cartão de Crédito,R$ 396.00,1,,
270,4/3/2015,Clara Nunes,Produto I,Cartão de Crédito,R$ 759.00,2,,
271,4/3/2015,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
272,4/3/2015,Camila Souza,Produto H,Cartão de Crédito,R$ 396.00,1,,
273,4/4/2015,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,1,,
274,4/4/2015,Clara Nunes,Produto B,Cartão de Crédito,R$ 577.50,1,,
275,4/4/2015,Diana Martins,Produto H,Boleto Bancário,R$ 396.00,3,,
276,4/4/2015,Diana Martins,Produto B,Boleto Bancário,R$ 577.50,1,,
277,4/4/2015,Anderson Gomes,Produto A,Dinheiro,R$ 445.50,2,,
278,4/5/2015,Anderson Gomes,Produto D,Boleto Bancário,R$ 759.00,2,,
279,4/6/2015,Diana Martins,Produto G,Cartão de Crédito,R$ 165.00,1,,
280,4/6/2015,Anderson Gomes,Produto D,Dinheiro,R$ 759.00,2,,
281,4/6/2015,Felipe Melo,Produto F,Cartão de Crédito,R$ 478.50,2,,
282,4/6/2015,Anderson Gomes,Produto C,Cartão de Crédito,R$ 148.50,1,,
283,4/6/2015,Camila Souza,Produto B,Boleto Bancário,R$ 577.50,3,,
284,4/7/2015,Diana Martins,Produto B,Cartão de Crédito,R$ 577.50,1,,
285,4/7/2015,Diana Martins,Produto C,Cartão de Crédito,R$ 148.50,1,,
286,4/8/2015,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,2,,
287,4/10/2015,Anderson Gomes,Produto D,Cartão de Crédito,R$ 759.00,1,,
288,4/10/2015,Renato Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
289,4/10/2015,Diana Martins,Produto B,Cartão de Crédito,R$ 577.50,1,,
290,4/10/2015,Clara Nunes,Produto E,Cartão de Crédito,R$ 709.50,2,,
291,4/11/2015,Clara Nunes,Produto A,Dinheiro,R$ 445.50,1,,
292,4/11/2015,Clara Nunes,Produto G,Cartão de Crédito,R$ 165.00,1,,
293,4/11/2015,Anderson Gomes,Produto E,Cartão de Crédito,R$ 709.50,3,,
294,4/11/2015,Clara Nunes,Produto J,Cartão de Crédito,R$ 66.00,2,,
295,4/12/2015,Clara Nunes,Produto F,Dinheiro,R$ 478.50,2,,
296,4/12/2015,Anderson Gomes,Produto E,Boleto Bancário,R$ 709.50,2,,
297,4/12/2015,Camila Souza,Produto J,Cartão de Crédito,R$ 66.00,1,,
298,4/13/2015,Anderson Gomes,Produto B,Cartão de Crédito,R$ 577.50,3,,
299,4/14/2015,Anderson Gomes,Produto A,Boleto Bancário,R$ 445.50,2,,
300,4/14/2015,Anderson Gomes,Produto C,Dinheiro,R$ 148.50,3,,
301,4/15/2015,Diana Martins,Produto A,Boleto Bancário,R$ 445.50,3,,
302,4/15/2015,Felipe Melo,Produto A,Boleto Bancário,R$ 445.50,1,,
303,4/15/2015,Felipe Melo,Produto G,Cartão de Crédito,R$ 165.00,1,,
304,4/15/2015,Felipe Melo,Produto H,Dinheiro,R$ 396.00,1,,
305,4/16/2015,Renato Souza,Produto C,Cartão de Crédito,R$ 148.50,1,,
306,4/17/2015,Clara Nunes,Produto C,Dinheiro,R$ 148.50,2,,
307,4/17/2015,Anderson Gomes,Produto B,Dinheiro,R$ 577.50,2,,
308,4/17/2015,Renato Souza,Produto B,Cartão de Crédito,R$ 577.50,3,,
309,4/17/2015,Renato Souza,Produto F,Dinheiro,R$ 478.50,1,,
310,4/17/2015,Felipe Melo,Produto D,Cartão de Crédito,R$ 759.00,1,,
311,4/18/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
312,4/18/2015,Camila Souza,Produto D,Cartão de Crédito,R$ 759.00,1,,
313,4/18/2015,Anderson Gomes,Produto G,Boleto Bancário,R$ 165.00,1,,
314,4/19/2015,Camila Souza,Produto I,Boleto Bancário,R$ 759.00,1,,
315,4/19/2015,Felipe Melo,Produto J,Cartão de Crédito,R$ 66.00,2,,
316,4/19/2015,Clara Nunes,Produto I,Boleto Bancário,R$ 759.00,1,,
317,4/21/2015,Clara Nunes,Produto J,Dinheiro,R$ 66.00,1,,
318,4/21/2015,Felipe Melo,Produto I,Dinheiro,R$ 759.00,3,,
319,4/21/2015,Camila Souza,Produto F,Cartão de Crédito,R$ 478.50,1,,
320,4/21/2015,Diana Martins,Produto B,Boleto Bancário,R$ 577.50,1,,
321,4/21/2015,Camila Souza,Produto I,Cartão de Crédito,R$ 759.00,1,,
322,4/22/2015,Diana Martins,Produto G,Boleto Bancário,R$ 165.00,1,,
